date,num_rides,holiday,Max_Temp,Min_Temp,Rain_in,Snow&Hail_in,obs_time_ Snow&Hail_in
2017/01/23,293838,FALSE,44,36,1.16,0,0
2017/01/24,320990,FALSE,38,35,1.18,0.001,0
2017/01/25,325264,FALSE,51,36,0,0,0
2017/01/26,342833,FALSE,56,43,0.02,0,0
2017/01/27,363952,FALSE,43,36,0,0,0
2017/01/28,368410,FALSE,39,34,0,0,0
2017/01/29,305756,FALSE,43,35,0,0,0
2017/01/30,289127,FALSE,37,30,0,0,0
2017/01/31,313423,FALSE,34,26,0.06,1,0
2017/11/01,330540,FALSE,59,43,0,0,0
2017/11/02,333336,FALSE,72,58,0,0,0
2017/11/03,347466,FALSE,74,51,0,0,0
2017/11/04,355150,FALSE,56,46,0,0,0
2017/11/05,295337,FALSE,61,51,0.02,0,0
2017/11/06,298503,FALSE,66,46,0.01,0,0
2017/11/07,323375,FALSE,49,40,0.7,0,0
2017/11/08,329592,FALSE,49,39,0,0,0
2017/11/09,340247,FALSE,55,39,0.001,0,0
2017/11/10,363219,TRUE,51,25,0.01,0,0
2017/11/11,329258,FALSE,38,24,0,0,0
2017/11/12,298008,FALSE,46,32,0,0,0
2017/11/13,301614,FALSE,47,39,0.07,0,0
2017/11/14,320738,FALSE,48,35,0,0,0
2017/11/15,332306,FALSE,51,37,0,0,0
2017/11/16,345572,FALSE,57,43,0.2,0,0
2017/11/17,353557,FALSE,47,37,0,0,0
2017/11/18,345346,FALSE,56,34,0.1,0,0
2017/11/19,297908,FALSE,59,38,0.23,0,0
2017/11/20,295538,FALSE,47,36,0.001,0.001,0
2017/11/21,303274,FALSE,58,42,0,0,0
2017/11/22,295794,FALSE,56,35,0.21,0,0
2017/11/23,192449,TRUE,43,31,0,0,0
2017/11/24,216356,FALSE,50,35,0,0,0
2017/11/25,258237,FALSE,57,43,0,0,0
2017/11/26,251377,FALSE,51,40,0,0,0
2017/11/27,277655,FALSE,51,39,0,0,0
2017/11/28,302342,FALSE,54,36,0,0,0
2017/11/29,311303,FALSE,63,42,0,0,0
2017/11/30,339086,FALSE,53,38,0.03,0,0
2019/04/01,234376,FALSE,46,33,0,0,0
2019/04/02,258809,FALSE,52,39,0.001,0,0
2019/04/03,265134,FALSE,67,41,0,0,0
2019/04/04,278632,FALSE,60,44,0,0,0
